gene,f_stat,p_value
SHFM1,633.4696922763435,0.0
YWHAE,980.503770683624,0.0
AHCYL1,670.4949656231078,0.0
SLFN11,486.9687733901445,0.0
SMG6,1041.8508544299068,0.0
SNRPA,488.8130643989118,0.0
C7orf49,1483.2036060894459,0.0
PARP2,584.4118731333097,0.0
PCBP1,515.5323217328273,0.0
CAPZA1,499.8305314304134,0.0
OGG1,717.3194220565078,0.0
SUPT7L,483.51036384392455,0.0
PER1,512.7525035310865,0.0
PPP4R1,520.7458125099334,0.0
POLR2F,504.708509675782,0.0
SRSF12,909.9276864345619,0.0
MAPK1,919.482575025402,0.0
CCND2,529.1706045010806,0.0
PTBP1,729.9358055403097,0.0
HIRA,951.0049210231546,0.0
H2AFX,583.063389748763,0.0
HERC2,593.8946750046568,0.0
HFM1,914.7277365763032,0.0
NEIL2,695.6008868976368,0.0
MVP,649.3871801262134,0.0
NACC2,2049.1937034935386,0.0
NHEJ1,989.1706868047901,0.0
UBC,508.1375103207272,0.0
CCNB1,566.1838607083898,0.0
RB1,613.4306728987151,0.0
RUNX1,575.9375230790374,0.0
RREB1,617.4633867572912,0.0
TNKS,610.9629653255492,0.0
CRY2,536.1278841702244,0.0
CSNK1E,959.0409378438504,0.0
SMARCC2,1154.8100118250316,0.0
COPS8,586.7523636225113,0.0
TOP2B,598.4252537066315,0.0
CLASP2,3530.3375927630204,0.0
DDB2,1001.1032724829138,0.0
ASF1B,598.9300797249439,0.0
ASCC1,608.2723656369399,0.0
BAP1,616.5595117023862,0.0
WDR48,766.6615800799295,0.0
AR,477.7343338172773,0.0
CXorf57,804.6674725391482,0.0
TSC1,630.3646835238924,0.0
TRIM35,595.551653127411,0.0
FAN1,549.9955684524758,0.0
TGFBR2,686.8512003563009,0.0
TERF2IP,2174.11477839741,0.0
TERF2,2002.542272006233,0.0
GMFB,925.0685408078597,0.0
CIRBP,514.7073454548862,0.0
FAM35A,474.9853231903941,2e-323
NEK2,474.5151812049597,3.5e-323
TRAIP,473.6427468969423,1e-322
SMARCA4,465.55092124830696,2.92367e-318
SMARCC1,461.19843398972864,7.5797212e-316
HELQ,460.0653655940093,3.23110171e-315
SOD2,457.1104377466651,1.42611381446e-313
LRRK2,447.1066892897091,5.634192247429795e-308
BCL2,445.69491551263394,3.5010829488299565e-307
POLD1,435.5883758857784,1.7767439743734119e-301
NASP,432.18271092329866,1.5223945338453618e-299
POLR2C,431.2389074295366,5.237383241988256e-299
FOXN3,428.80163299704384,1.2783854422398793e-297
SMARCB1,426.4989224296634,2.6307640873223555e-296
TRIM37,424.46759295646467,3.808196593582228e-295
OBFC1,423.86481240538353,8.423491799498522e-295
MAPK14,416.6819017661302,1.1136789726905258e-290
RAD18,416.1736502997585,2.1841219636775113e-290
PARP4,415.581930706871,4.786119767121638e-290
POLK,413.68524761440966,5.931606184665665e-289
CNOT10,413.3171391343293,9.672359483186799e-289
EYA1,412.4840550482887,2.926631383134315e-288
TDP1,408.60670569677893,5.111464411600326e-286
GAR1,407.5532650519083,2.084211691214198e-285
ZWINT,405.7163699416977,2.4240694950343778e-284
KAT5,402.1609171525644,2.828964905480845e-282
CWC27,400.3479508102666,3.2207922346141954e-281
ERCC5,399.5140311531379,9.871325266940872e-281
ABCC1,399.2981517656466,1.319315332502355e-280
HINFP,393.2565077736238,4.517458698772182e-277
CABIN1,391.44677080796305,5.21262219168767e-276
TRIM28,387.91319104687784,6.24493976695211e-274
PFN1,383.00623005896426,4.919159125016929e-271
RAD1,382.57642439417117,8.833768818096938e-271
FLCN,379.5218171140334,5.698156056578093e-269
FAM175A,378.3671293226628,2.760456219159186e-268
UBE2B,376.5163086654024,3.4731023327968604e-267
DAZAP1,375.9334857560011,7.715691784594994e-267
CCNB2,375.5581002023129,1.2904450098298786e-266
RNASEH2A,374.63490941688417,4.5746743888237e-266
CDK7,371.0975752023297,5.891529385309791e-264
ABL1,365.057695443124,2.4389891302457154e-260
TP53,362.4270449165364,9.296350155101486e-259
CHEK2,361.5028482823626,3.3466798512334067e-258
RPAIN,359.4787950233645,5.5522160487668624e-257
ESR1,358.806866086109,1.4121588185434035e-256
SMARCA2,357.35947533431755,1.0567380535894175e-255
POLG,356.370963427493,4.1835726235210087e-255
CDC25C,353.9650441433128,1.1969474435722478e-253
RASSF7,353.5457682285172,2.1488482392294508e-253
ASF1A,352.18779474049524,1.4319183125917824e-252
SOX9,349.3098524456711,8.030586996457006e-251
XPA,347.88315201857966,5.933256148052025e-250
RUVBL2,347.7827977744787,6.83008975103693e-250
ORC6,347.4494582673408,1.0902499250830288e-249
COPS7B,347.19586596379696,1.5562356615390692e-249
ANKRD44,346.81964384304547,2.638892575774812e-249
PIF1,341.3778760796316,5.584607205554512e-246
PMS2,340.5081308842111,1.9052271670603266e-245
BRE,340.34483518527554,2.399130236300295e-245
RAD23B,339.89387797545123,4.5350505992086764e-245
FANCD2,339.8097132854702,5.1074487204262955e-245
RNF8,338.9638071704901,1.6874934897833142e-244
RAD51,337.0314271618962,2.596225094737921e-243
POT1,336.55285517595064,5.11261836182349e-243
POLE,334.34331693601047,1.1721562087260458e-241
CCNA1,332.5961317264227,1.4012181115041706e-240
NPM1,331.29141861097855,8.95787815799957e-240
ING4,331.2881289777204,8.999901266485255e-240
NUDT15,330.907849680076,1.5461196738425096e-239
CNOT3,330.1360295383482,4.639280876300819e-239
TAOK2,329.3808770098826,1.3603825076369729e-238
ELAVL1,328.58993363466595,4.200900328038306e-238
