,UBB,HIST1H1C,UBC,PFN1,DAXX,HSPA8,HSP90AB1,UBD,ACTB,PCBP1,BTG2,NFKBIA,H2AFZ,GADD45G,CDK4,CCND1,H2AFX,SOX4,TRIM28,TCEB2,APEX1,SOD1,NOP10,CIB1,HIST1H1B,PSMB6,DDX5,HES1,CALM3,SOX9,POLR2I,HMGB2,C9orf142,COPS6,POLR2L,STOML2,CDKN1A,CDK2,ZNHIT1,RASSF7,POLD4,TNP1,GADD45A,CIRBP,CETN2,SRSF6,GPS1,RAD23A,PUF60,VCP,UBE2C,UBA1,POLR2K,NHP2,YBX1,POLE3,SNAI2,MVP,POLR2E,STRA13,HNRNPU,HRAS,POLD2,PPP4C,CCNO,SDCBP,MRPL40,POLR2J,TREX1,THAP7,KPNA2,KAT2A,TINF2,BCL3,YWHAB,ZWINT,RNF113A,PER1,AHCYL1,FEN1,POLR2G,CCND2,BRMS1,PTBP1,IDH1,ARPC4,THOC6,RRM2,NDNL2,UBE2NL,POLR2A,NPM1,PCNA,DDIT4L,POLR2H,MDM2,RNASEH2C,COPS7A,MTA2,RECQL4
UBB,1.0,0.26331026911668814,0.24117736222969802,0.29594356040770625,0.12934199967492982,0.16284039250668433,0.13956667196735376,0.2849481624234712,0.15709700056140527,0.3002398883700746,0.006321571424463197,0.061267165321437424,0.02317575836740751,0.32293513212812286,0.07705616433476939,0.027973541050019146,-0.004093085482222666,-0.20187227063751662,0.0317761661226993,0.41480681667138763,0.10171900984434934,0.5754537056433253,0.4216895826168183,0.3725124884766496,-0.035880274083347125,0.5368501759512245,0.05125645908202053,0.08686345748861027,0.3052984359358571,0.029976639734809,0.3278295526965307,-0.20810489568644264,0.2515072726446186,0.42914451846010027,0.4375750338797144,0.31178351489851786,0.1919519919434591,0.028018853297880682,0.5214896346301786,0.19301432049169734,0.4313664051968649,0.011873442445834015,0.23029965601509053,0.2913756439483609,0.2569844374751494,-0.03826454013189207,0.413766902942484,0.27940515076547834,0.3020156000422791,0.19299729522637402,-0.16641308763938795,0.09906488109036111,0.24096199516543843,0.3720335402333765,-0.002200553912504907,-0.06193823631745459,-0.0630653861390342,0.2458810796536595,0.5443109481367018,0.35355966526831667,-0.16591884528668818,0.17982586780657642,0.29466836070337726,0.2621724346417572,0.030811122340281553,0.14674918724183442,0.5180491894523455,0.3846932833967727,0.24613717702601082,0.34401214321280477,-0.19938253316517993,0.029244526163831837,0.19619954133465264,0.03052213985583835,-0.011396322080874077,-0.23186798277775372,0.42572796251783385,0.1942029781600906,0.06018493192881232,-0.07626153405545884,0.3576140780966291,0.042932546563108825,0.24543715600730964,0.025022736096233622,0.25225821535049564,0.34508080300113014,0.18181893454230583,-0.2045761286412668,0.2941266282258013,0.05920999437578675,-0.04916404020822496,0.12577354327839155,-0.07970380698249584,0.04502274131870613,0.13407970706978403,0.04241123118829562,0.3685944517432883,0.38485052855693125,-0.13966245562429924,-0.046041640934009226
HIST1H1C,0.26331026911668814,1.0,0.21063768366541696,0.1100753946640614,0.15016521310369227,-0.05136337689310408,0.11173996710197895,0.20912559632227218,-0.026015353993488297,0.14722258328905824,0.0020949598325893217,0.06408185222925321,0.017426432764603927,0.269407530689934,-0.017828214935006848,0.039682009120772264,0.04583158912106675,-0.10000803888888272,0.06312229540847954,0.3412186849121114,0.050182723162395505,0.37453046907804377,0.32903702346670133,0.3135728076274708,0.1458339708796573,0.3208174483835309,0.0376456227977095,0.12944419890628614,0.022300805362264496,-0.12214873367556331,0.21533688941432255,-0.03310591405876744,0.2722719894144227,0.22428603604968086,0.3280022608017994,0.17522250913206772,0.031172028120928116,-0.060364353225229206,0.4128258216609528,0.26372560325710015,0.34348904831508703,0.007971159935441683,0.05927421366144156,0.16039994865831755,0.13500563227471876,0.08236467119594387,0.3037882146406627,0.2315473796393617,0.1757976158093734,0.13926960322263263,-0.03779673619602085,0.03050266390579843,0.19608307036766387,0.2435616747947459,-0.029704560299654355,-0.031656297123959294,-0.02985733290839183,0.021900223327673937,0.2515766568525399,0.3881549194339381,0.003495369589993582,0.21387808004159417,0.23592062931624036,0.20325648142578787,0.041982188393492825,-0.03447089891001213,0.4065178626807236,0.33478134615543553,0.2930289821551279,0.28341128179929875,-0.041288590807960025,0.04240683604961975,0.0789942586753805,0.09227017420371787,-0.11962760902798439,-0.04576720628055453,0.2790198659552217,0.04779605622558457,-0.08279498707488324,0.009669717211679384,0.15840804120761773,-0.10803923888796368,0.23316700829047748,0.03435386357717048,0.28348931230162655,0.2262380532613326,0.19883858776611185,-0.05654253230115933,0.09641302248500566,-0.008798103978475675,-0.11773979379087486,0.1466586705747798,-0.004184392644699505,-0.013621454519253251,0.24098405325234032,-0.001848096412551177,0.2664804991877206,0.09138288415280797,-0.01629079394338921,0.08651201875403698
UBC,0.24117736222969802,0.21063768366541696,1.0,0.1726488451161434,0.15209416209485685,-0.014953178271316732,0.04219947955359876,0.10970716840499274,0.26518182662947987,0.37575607565432406,0.06719488316539896,0.2427748304736423,-0.04477106382429166,0.13043824349503816,0.0040314356476514185,0.192883479889807,-0.09634041674597543,-0.20816772222385643,-0.028669826258915062,0.30813180265937795,-0.06321848518244444,0.2716075344331277,0.28428757552627704,0.31145024798432397,-0.0338710248671004,0.4082875791985799,0.0991698256551564,0.09144530784378765,0.21010108742440142,-0.06252626266069239,0.21722354556535636,-0.16053326109158192,0.18321403880758272,0.3309225478964501,0.2841456079537703,0.14471307576991815,0.38374766225518564,-0.05805319053228153,0.30799325404702255,0.14884566673571978,0.2629194976052081,-0.0026088994830288457,0.33220009045359233,0.22135344631909898,0.2250943031981945,-0.1542434065653841,0.1991266912579757,0.26077829899191013,0.13018279251501333,0.22691215173721338,-0.1965213719029355,0.06462460080493795,0.040898550146106695,0.1649657117214138,-0.04407302593458934,-0.060072457246015974,0.10371363732571702,0.350153741337646,0.3502904621444219,0.10044678169126474,-0.08969746494213338,0.3774866835577573,0.1964699023475075,0.2157012439341642,-0.027984939182824423,0.038964192544549456,0.34748378879710023,0.2647456005126796,0.21177738389251524,0.24604190833997816,-0.15503737216906516,-0.04813300505507966,0.29759733162468016,0.08385158255658422,-0.028365398714016422,-0.23401819677787952,0.23836126325464105,0.30196527468424483,0.09992096645021863,-0.09103107768425213,0.20296845613530862,-0.020936741273963663,0.32907971274178827,-0.008188002291281457,-0.011128860114525798,0.304953467179797,0.2415552768446862,-0.18437186440641576,0.1632969970259038,0.10823573292659532,0.03395657368582805,0.19346449810162342,-0.12734204566074034,0.1377781216702633,0.12266669687037135,0.042118486629743664,0.24650904952076425,0.3206739853782232,0.037609023254825014,-0.0957780075254096
PFN1,0.29594356040770625,0.1100753946640614,0.1726488451161434,1.0,0.27356730221727843,0.02120352667801508,0.14241396278741422,0.154151273802587,0.64756304261164,0.3585443463981247,-0.10935263917178015,0.08756000803682236,0.3119644463781957,-0.021382781299266202,0.04381531222514835,-0.04752345444059118,0.4896887374476088,-0.05023365915398525,0.4562024737503129,0.522038701943036,0.21651747635133836,0.16231506704109555,0.5438210452676356,0.39855983709398735,-0.050714474298487904,0.6137304052540122,-0.27225825136981674,0.11480329584467472,0.08336817791512427,0.01807405590115341,0.5493433760988864,0.11656478406732391,0.42176943597682687,0.40784012509228956,0.5449878993824088,0.4454863980111255,0.20219874252396655,0.0701049603025351,0.4151144829844956,0.40375965668925784,0.31746616108891873,-0.005272231049276695,0.03354551731465399,-0.14126560881986316,0.11707255720278417,-0.17804807516713902,0.4336031997352391,0.38147452635506685,0.37561492230219606,0.2076175683622107,0.3522483023638721,0.31799953897295785,0.13119876812047804,0.5228989077594925,0.3729116108279587,0.054339119982476265,0.09783002910185559,0.36156120213862825,0.47397344357027055,0.3464468163327566,-0.24703489277761953,0.40291559258384424,0.4543563698440481,0.6273881725448419,0.163918930957406,0.041092071579923554,0.23251374721942808,0.4339581372438658,0.3621680848774496,0.2823975719084773,0.22178823262363315,0.044213416236477246,0.00523901514391968,0.32243630362841197,0.037687181953107246,0.1750562982240939,0.3734233325323756,-0.0918553586796513,-0.22188355278355762,0.2692384916030675,0.4114831798510639,-0.08187654439694993,0.4643932392403526,0.4703458771087401,-0.042519932173447475,0.49618443702245835,0.5329719203782718,0.19634539768866932,0.0463927260252765,-0.10272376832210924,0.023139772866625115,0.14018729618494283,0.19520853388407947,-0.030029219853107133,0.43230733888456385,-0.05980898639780926,0.339524431919737,0.12944368605511367,0.30931142425304875,0.3626934886987766
DAXX,0.12934199967492982,0.15016521310369227,0.15209416209485685,0.27356730221727843,1.0,-0.07239938862196735,0.29467846297198863,0.1282843942486402,0.19218503460830566,0.1876232024077671,-0.0620592651447236,0.025542921392112276,0.20500091855985636,0.012299320909895495,0.03430658251559664,0.02952579294667582,0.13237853242550712,-0.01744116854053567,0.22864980514575142,0.20242583810915887,0.08644276179009346,0.17538655501181857,0.18656698514265982,0.11631491392966332,-0.06577074991633627,0.24743263479287714,-0.12383667156064429,0.02105082888886612,-0.016812550946381444,-0.09888882423602745,0.19801971910398342,0.12305919009048531,0.209572488928011,0.17905025160963348,0.2302167925596095,0.19526409290526703,0.06594042556912004,0.12502361115745503,0.19455251062221504,0.09705545366548672,0.1630994153803869,-0.0016826379250928615,-0.02992731780190488,0.017189703783046913,0.0209532905185413,-0.11185643794611377,0.2453689281042035,0.21489782172131452,0.2286025110648213,0.12886486922520346,0.12155767270381591,0.06634024190219424,0.022475315970776243,0.2548129678150164,0.07474086436413017,0.05194168467435668,0.13816484825931663,0.06088334959659256,0.22568079212180525,0.18861082118915926,0.02438707883420815,0.23418531965909894,0.23884312755591708,0.3213573748906605,0.03367868610685462,0.06124565660249783,0.12101488770970652,0.169132838715016,0.13785746707593147,0.17980206796533355,0.12661006385468637,0.04405291251189064,0.06705097707678842,0.07766400236231082,-0.07307148296488859,0.13943870957070298,0.24949111734852975,-0.12267778199202539,-0.11213461694352764,0.28477045482466923,0.20894254201662424,-0.15495084345576846,0.30495647938574844,0.18591397987516944,-0.03632240062015763,0.27181575329738444,0.32382622851888115,0.052076100052770996,-0.04586875652549603,-0.05398785506014186,-0.042360821286545426,0.09380717942055035,0.14625164963404494,-0.0731642274990314,0.2174406577491867,-0.047447890531911126,0.13779483876780707,0.05210778635954892,0.23713774007942093,0.18589644549826678
HSPA8,0.16284039250668433,-0.05136337689310408,-0.014953178271316732,0.02120352667801508,-0.07239938862196735,1.0,0.18632852304431488,0.05854966438060282,0.038785467756627987,-0.07233915477163162,-0.08717202037362447,-0.07201334076689464,0.10305816033850955,-0.0005814622838871833,0.03427127995217467,-0.040182742142016004,-0.056215076822070054,-0.19467156653529827,-0.019466466272892086,-0.05752137702653698,0.028396135524396304,0.05061807385034748,0.08478683668129028,-0.03585297413614354,0.10932278220645236,-0.005564131767281613,-0.13278579550105676,-0.22800350819333082,0.13820351997805536,0.0323594427331004,-0.12610164924967673,-0.1760683616777571,-0.21498633699122274,-0.024950411319107864,0.05632719672151925,0.18181509179988703,0.0011246576767224574,0.08344454518646711,-0.04745142563736728,-0.12587240942496175,0.050678743199021346,0.004228526199832781,-0.03907040958829907,-0.1825030559110235,-0.11573091840624265,-0.1751788551340946,-0.039731328737455884,-0.13661280021989872,0.14824554633611473,0.17214449354802736,-0.046131824188679706,-0.005249899616471882,0.05756794033177959,0.050894298101398554,0.07614043912131536,0.19634992595451492,0.06800173115841802,0.02139069263233861,0.012237867940748577,0.05730736245308838,-0.03711727712021416,-0.06380768778392842,0.09239304214416345,-0.029037243894778523,-0.10389522751291436,0.1341425798443707,-0.12419932399356441,-0.13779104586185922,-0.14305484748357084,-0.11954787466661008,0.16992652844081926,-0.2010488608525327,0.15071791239959317,-0.07477095596609254,0.2258059019308221,-0.045048555521439916,0.02562710716100851,-0.14557737324572684,0.046236789564583415,0.06326072090166114,0.09206059304901143,-0.048968657682879974,-0.011228477831862512,-0.07760575258599513,0.08556686148356832,0.028812165974732216,-0.24009411842935505,0.14242599988939864,-0.06592834884401567,0.2541767403341514,0.016175949338934226,0.12382985514277504,0.020013354531132874,0.008383740300882318,-0.1141949319594543,-0.014349079821461353,-0.044034515657655704,0.08050046939680035,-0.05262465449171746,-0.07026744911058884
HSP90AB1,0.13956667196735376,0.11173996710197895,0.04219947955359876,0.14241396278741422,0.29467846297198863,0.18632852304431488,1.0,0.08944764464208169,0.03274459909158685,0.1590675285601431,-0.09180100997674685,-0.06171713023078116,0.14963940214286445,0.040491334313916855,0.028159521308212688,0.04310436838413826,0.04438963489272828,-0.026118404642185976,0.18903071944985092,0.11971450208931549,0.13194226533989165,0.16334902066557858,0.12601784689065204,0.08162010609152469,-0.016860094130524524,0.12265291311110721,-0.13586739195724507,-0.015361569229924665,0.04047250830630893,-0.07555272803082294,0.11147542998739968,-0.05055530304691573,0.039210673661313006,0.14182434242883715,0.1404150676952493,0.16333210359910824,-0.015276948351674334,0.20716438583215085,0.10002907219730979,0.049605180084838094,0.08301031653427336,0.002796070081969529,-0.08698604560341326,-0.03820080555402752,-0.0014379153974663755,-0.06545401270555967,0.2138206751622941,0.15065530731234478,0.28006117127626373,0.15940902462024067,0.1081160107264374,0.11498160064260808,0.1460611327696446,0.21141277649523849,0.10119159797205834,-0.008935252097065171,0.10527645830861687,0.042536749061064465,0.15931379960167116,0.16699861393476476,0.09513367462118712,0.08097766384449477,0.2123432723910691,0.1281828456291638,0.04045220104098478,0.23490377687331107,0.054746901991211225,0.0815014842606519,0.029249045716327377,0.07886303856928116,0.14709318983871691,0.0013071899738770429,-0.056892690651300266,-0.0035431571079781944,0.06043531086608712,0.03950981717995955,0.1627625111419921,-0.13768392135339375,-0.14495535900119763,0.10230752124760356,0.05038382565575047,-0.1282652168678341,0.1536262168650713,0.17364936579574777,0.09481271913338525,0.10828064164074445,0.1204713535722321,0.028444897981161923,-0.007644592805009522,0.0005208648516208145,-0.03978207211638976,0.24722801723563842,0.006356287020218305,-0.03605097395778743,0.12443654202726424,-0.041875113806608556,0.040486795991487634,0.13739996220935785,0.011900436316018989,0.15587131582990157
UBD,0.2849481624234712,0.20912559632227218,0.10970716840499274,0.154151273802587,0.1282843942486402,0.05854966438060282,0.08944764464208169,1.0,0.06362331554638943,0.20120445323739086,-0.0868708378492925,0.07881962970712092,0.040975348507724475,0.10463685425200722,-0.01586076129416339,-0.012382100577739126,-0.0004024493370719188,-0.12861920889424086,-0.01618311205672741,0.10729188177146991,-0.009295761527521268,0.3951865446775766,0.22289972052386053,0.12055922556159393,-0.003703036679735006,0.2002232079652794,-0.05275854631422656,-0.027700499752462235,0.045914601665182006,-0.007543721719909956,0.06856498974722806,0.010400705388832273,0.084147274779676,0.08947947478082886,0.1376205104711336,0.16563651248865907,0.021022550556551868,-0.028779859895265297,0.23187139562022782,0.1271992908101105,0.29679465795697446,0.06943916380704654,0.0742083788040515,-0.08407602217022132,-0.03346075730151396,-0.060510028892730605,0.12024099159003895,0.11291527199955698,0.19746154283435705,0.09456355255050435,0.0030829583002569775,-0.0453390287278133,0.20569370837859602,0.13255373736193482,0.04011760691610941,-0.009724442795863406,-0.03518608266968007,0.10781867909039096,0.19539143205528728,0.16178354266865205,-0.0026459617334472873,0.019553130547225427,0.06832635920113163,0.09124665470074851,-0.04772837773089984,0.042157607340063845,0.1897029693531881,0.10501043996145933,-0.007199453096455179,0.06677335635597985,0.0070036299039127154,-0.0011538536839396463,-0.03983319259813659,0.1402329455163408,-0.04106113545517361,0.009519718393905391,0.2789714522686028,-0.02214843861805043,-0.06799783005034928,0.09480344567285416,0.05242324563768673,-0.08751916762034079,0.10802262725024835,0.09076707896711242,0.19252052627671462,0.09218420366562899,0.0570257831855832,0.05279840689649839,-0.01697669710102142,-0.03674138399962171,-0.11935138731844858,0.13201115850703107,0.08219931773851946,-0.016042187364320726,0.08655443059248452,0.008350560603852522,0.06710187296319421,0.02901489249334291,-0.04178284711311404,0.06679107812021653
ACTB,0.15709700056140527,-0.026015353993488297,0.26518182662947987,0.64756304261164,0.19218503460830566,0.038785467756627987,0.03274459909158685,0.06362331554638943,1.0,0.3421466969792041,-0.041335261513289756,0.128983431420113,0.18168573869956195,-0.04790748971340991,0.05408934456745827,-0.04550563983700753,0.2938075152676592,-0.010913104845882309,0.32845554282402245,0.3425550717034559,0.035199328902956725,0.033291934202325596,0.31912111735217336,0.2565229104827563,-0.03994268225822535,0.3143083806771905,-0.2174974292946311,0.06654350630852435,0.11420438121986841,0.12366025878120933,0.3841852171662661,0.028853269365185286,0.2103709191336117,0.29955196755165425,0.3379129148132448,0.19909601944320643,0.21391465683511404,0.04860208315033696,0.21710255582487467,0.18076418470975875,0.1874188403235926,-0.0072086855290694404,0.1033583423170123,-0.1514037471817098,0.08216359615920707,-0.2520622906039034,0.22114598640462743,0.22497697993216237,0.26209392826450073,0.19523518381735536,0.2022136223555248,0.3086930904086613,0.04929654766587488,0.2725654757956186,0.26391500827755787,0.012839712827328298,0.1638119857723417,0.36043665775643924,0.3033092222551292,0.11025655965247115,-0.1833362778767552,0.2912745369952747,0.3137107646527275,0.47974245127332804,0.11201891615501197,0.06779286626977517,0.06327770624430389,0.26019814501535604,0.22981820237530118,0.14653973725122535,0.1567762406388979,-0.05063383614783608,0.05217021876049408,0.29430915842208,0.11937986583413994,0.05757833287307175,0.2209304161574997,-0.03095066873647822,-0.07134508551550281,0.14929579249073785,0.28517819634163555,-0.01124215493399685,0.30419274383616307,0.36308957407684317,-0.11898039579889141,0.3666165979414076,0.33274284661858783,0.1420905702500356,0.042902479561141786,-0.04044405716225548,0.07472085890038081,-0.019719220029046764,0.07608931121388243,0.005736420322135702,0.182465277967627,-0.027586565273895077,0.1635443737038163,0.13313196661570817,0.2802882662735631,0.20260620145299565
PCBP1,0.3002398883700746,0.14722258328905824,0.37575607565432406,0.3585443463981247,0.1876232024077671,-0.07233915477163162,0.1590675285601431,0.20120445323739086,0.3421466969792041,1.0,-0.051406808293176065,0.1587126926443252,0.04700334887160343,0.0440621498040504,-0.028839981958404672,0.15632508235985798,0.025348719184815172,-0.16080202845644978,0.17953956918409752,0.18213601068341018,0.14188036820823816,0.3088767896060478,0.29080828162717093,0.23967200440311656,-0.11414837651194712,0.2812615101386056,-0.07440236428084357,0.15629466071656245,0.0908302506708198,-0.06637726017723632,0.2768962964223121,-0.11019797161188302,0.06346449983784332,0.24620005970355874,0.23622490399531074,0.2496395917210426,0.28097754725363877,0.08048555791951222,0.21344445229326006,0.15749437268019675,0.2218872633942907,0.03574965050963404,0.2536685175169945,-0.0352199385032575,0.09770350705364625,-0.1403869156803565,0.26742111956148845,0.30791775226822005,0.19783392464584332,0.23332446039101426,0.012033143188421374,0.2293783881041928,0.09428535713290956,0.19957423809347233,0.13626630861106018,-0.07822737315425266,0.07443529064167234,0.3682365945667846,0.41922705694770057,0.12397156524866752,-0.0565401855979436,0.12613056872921768,0.19996574763810784,0.2880747057088614,0.07806830337088155,0.08095269533516229,0.2958703562378952,0.15370826698271509,0.1340469332334631,0.1633998563247414,-0.030801858571809112,-0.10631866543252061,0.1022019383421208,0.20592667322496067,-0.07681868734700516,-0.055705319147833145,0.2596268371186872,0.0845930029819702,-0.1326757872030233,-0.013181152028796845,0.07829759577389912,-0.11380519178561545,0.16493418132492343,0.3058341992098265,0.13073664406760352,0.1483351515876722,0.2712724201531205,-0.050937075975198656,0.2297397654433884,-0.010642200022451455,0.07872843460127905,0.2017448643532009,-0.0502114125550306,0.07620062435583204,0.1510523430687039,-0.010554975814424893,0.042281126967363344,0.2564001266911961,0.03401234381958692,-0.002652749217574877
