,coef
ABCC1,-0.369962470308469
ABL1,-0.18873885460862697
ACD,0.35626261152088096
ACTB,0.007253285294457091
ACTL6A,0.08302226634016033
ACTR1A,0.09533892201735605
ACTR5,0.12371128492597462
ACTR8,-0.3029530061775228
AEN,0.024438625024784676
AHCYL1,-0.05856556823653247
ALKBH1,0.08612461146362835
ALKBH2,0.13999265046069714
ALKBH3,0.01866827524257805
AMN1,-0.10395124063858624
ANAPC2,0.16652841614681152
ANKRD17,-0.11466168820498158
ANKRD28,-0.2682915752094868
ANKRD44,-0.2790371084733119
ANKRD52,-0.04262124743826476
APEX1,-0.028880717776738542
APEX2,0.19418039547329527
APITD1,0.2788804474651495
APLF,0.07886141495524014
APTX,0.025782090334724585
AR,0.38141465719933
ARID1A,-0.12434218359625913
ARID1B,-0.09119056225743882
ARID2,0.2022081111976191
ARID3A,-0.3729890751967229
ARPC4,0.037729614103224535
ASCC1,-0.14598284644592327
ASCC3,-0.015357517920752592
ASF1A,0.14773779384540095
ASF1B,0.1880812043930782
ASH2L,0.2974543089554968
ASNA1,0.2063102904866639
ATAD5,-0.1474959276931786
ATF2,-0.2651917528888849
ATM,0.09758023045825133
ATR,0.281873594373631
ATRIP,0.33655515177576073
ATRX,0.036996297629974764
ATXN3,-0.007979751822727886
ATXN7L3,0.06652222393698222
BABAM1,-0.03662557374976518
BAP1,0.13507427336655392
BARD1,0.2118959601295907
BAZ1A,0.009693664565126867
BAZ1B,0.10182841211005486
BBC3,0.1421572149108948
BCAS2,-0.11263252415373574
BCL2,0.15582480835895907
BCL2L1,-0.07278270158674223
BCL2L11,-0.2110877513160359
BCL3,0.024570807241415936
BEND3,-0.2771344951901419
BLM,0.018990558159020288
BMPR2,0.11974778586115159
BRCA1,-0.3560381832350581
BRCA2,0.022833335397986168
BRCC3,0.19252730974609691
BRD1,0.30531499794866007
BRD4,-0.10828575447320023
BRD7,-0.06535002074234292
BRE,0.2207856390722118
BRIP1,-0.002292662873592647
BRMS1,0.2076104551725118
BTG2,0.1075932836589048
C17orf53,-0.43163688217747054
C17orf70,0.48704426798641903
C19orf40,-0.09620557610141323
C1orf86,-0.025433055199794448
C20orf196,-0.2503016786445613
C7orf49,-0.2921937974161425
C9orf142,0.1032990696043954
CABIN1,-0.013469723006736281
CALM3,-0.15219484188237686
CAPZA1,0.11890662202705005
CAPZB,0.30180943014219147
CBX1,0.027614299552160715
CCAR1,0.3779800927866094
CCNA1,-0.2492223697267229
CCNA2,-0.0495821417795645
CCNB1,-0.04562753353645887
CCNB2,-0.14296756448823006
CCNB3,0.17403205017315282
CCNC,0.1990644172101765
CCND1,0.07811364575944929
CCND2,-0.4199492946311147
CCND3,-0.14496285299701991
CCNE1,-0.029084578351499274
CCNF,0.025805190700624592
CCNH,0.023687042445958383
CCNO,0.09315223461043408
