,precision,recall,f1-score,support
ACC,1.0,0.9375,0.967741935483871,16.0
BLCA,0.9253731343283582,0.7469879518072289,0.8266666666666667,83.0
BRCA,0.9273504273504274,0.96875,0.9475982532751092,224.0
CESC,0.8360655737704918,0.8360655737704918,0.8360655737704918,61.0
COAD,0.7322834645669292,0.9587628865979382,0.8303571428571429,97.0
DLBC,0.9090909090909091,1.0,0.9523809523809523,10.0
GBM,0.9642857142857143,0.7941176470588235,0.8709677419354839,34.0
HNSC,0.8118811881188119,0.8118811881188119,0.8118811881188119,101.0
KICH,0.7857142857142857,0.8461538461538461,0.8148148148148148,13.0
KIRC,0.9357798165137615,0.9357798165137615,0.9357798165137615,109.0
KIRP,0.9444444444444444,0.8793103448275862,0.9107142857142857,58.0
LAML,1.0,1.0,1.0,36.0
LGG,0.9454545454545454,0.9811320754716981,0.9629629629629629,106.0
LIHC,1.0,0.9733333333333334,0.9864864864864865,75.0
LUAD,0.8899082568807339,0.8981481481481481,0.8940092165898618,108.0
LUSC,0.8333333333333334,0.9,0.8653846153846154,100.0
OV,1.0,1.0,1.0,86.0
PRAD,1.0,0.99,0.9949748743718593,100.0
READ,0.0,0.0,0.0,33.0
SKCM,0.9381443298969072,0.9680851063829787,0.9528795811518325,94.0
STAD,0.9880952380952381,0.9880952380952381,0.9880952380952381,84.0
THCA,0.9902912621359223,0.9902912621359223,0.9902912621359223,103.0
UCEC,0.8943089430894309,0.990990990990991,0.9401709401709402,111.0
UCS,1.0,0.36363636363636365,0.5333333333333333,11.0
accuracy,0.9152725310307609,0.9152725310307609,0.9152725310307609,0.9152725310307609
macro avg,0.8854918694612602,0.864959240543465,0.8672315367589353,1853.0
weighted avg,0.9031560255776034,0.9152725310307609,0.9065841426806832,1853.0
